coreid,dwc.countr,idigbio.is,dwc.geodet,idigbio.ge,idigbio.lo,idigbio.la,idigbio.ev,idigbio._1,dwc.scient,ac.accessU,range,pixelpercm,leaf_area,infl_length,initials,date_collected,notes
001d714d-acca-482a-a8ce-5b8a253c5d84,netherlands,nld,WGS84,"{""lat"": 51.970639, ""lon"": 5.641871}",5.641871,51.970639,1931,9/13/31,lythrum salicaria,https://medialib.naturalis.nl/file/id/WAG.1071143/format/large,native,47.166,3.505,9.485,JM,10/28/25,
006c28a3-955b-49b3-ad3e-916db12c2947,netherlands,nld,WGS84,"{""lat"": 53.255027, ""lon"": 5.889179}",5.889179,53.255027,1849,1849/07/01,lythrum salicaria,https://medialib.naturalis.nl/file/id/L.3331161/format/large,native,40.753,1.656,17.487,JM,11/4/25,infl looked cut off so measured from where it most likely started
0080f833-b0c2-4763-9e50-7170fe249091,united states,usa,WGS84,"{""lat"": 42.89051, ""lon"": -71.93935}",-71.93935,42.89051,1925,9/1/25,lythrum salicaria,https://neherbaria.org/imglib/cnh/UniversityofNewHampshire_NHA/NHA-706/NHA-706845.jpg,invasive,163.049,1.69,27.008,JM,11/4/25,
0100a3cf-9521-46d7-a682-94fa3c1656b8,united states,usa,WGS84,"{""lat"": 45.8667, ""lon"": -119.828}",-119.828,45.8667,2017,8/18/17,lythrum salicaria,https://www.pnwherbaria.org/images/jpeg.php?Image=WTU-V-035363.jpg,invasive,125.5,2.001,6.416,JM,11/4/25,
010f4bc1-cf57-460a-a2fc-1b83542818cb,netherlands,nld,WGS84,"{""lat"": 52.190854, ""lon"": 6.447482}",6.447482,52.190854,1905,7/1/05,lythrum salicaria,https://medialib.naturalis.nl/file/id/L.3331052/format/large,native,35.75,12.048,22.685,JM,11/4/25,
01ac661a-7f3a-4ff6-a73b-89e1be9cb390,united states,usa,WGS84,"{""lat"": 41.6161, ""lon"": -73.1178}",-73.1178,41.6161,1958,9/15/58,lythrum salicaria,"https://images.collections.yale.edu/iiif/2/ypm:183e3999-dcfc-4b17-99a9-849dd1e51d1f/full/!1920,1920/0/default.jpg",invasive,,,,JM,11/4/25,"could not measure, no scale in photo"
01b26ba7-e14f-490f-a61c-bebe5734f92e,united states,usa,WGS84,"{""lat"": 43.24677, ""lon"": -72.39408}",-72.39408,43.24677,1971,9/29/71,lythrum salicaria,https://neherbaria.org/imglib/cnh/KeeneStateCollege_KESC/KESC05/KESC05002.jpg,invasive,150.013,,8.79,JM,11/4/25,"only measured infl_length, no viable leaves"
023329bb-47c1-4553-9295-663a9a07e33a,norway,nor,WGS84,"{""lat"": 59.8811, ""lon"": 10.7776}",10.7776,59.8811,1866,1866/07/07,lythrum salicaria,https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13387078&type=jpeg,native,120.016,5.329,12.179,JM,11/10/25,
02a8f15b-2af3-4618-8c4e-2ec8aacbf964,united states,usa,WGS84,"{""lat"": 43.45113, ""lon"": -76.543706}",-76.543706,43.45113,1971,8/1/71,lythrum salicaria,https://neherbaria.org/imglib/cnh/StateUniversityofNewYorkatOswego_OSW/OSW0014/OSW0014617_lg.jpg,invasive,133.135,11.651,26.682,JM,11/10/25,
02f2b6c6-b278-470c-b10c-0a83df1ea5bd,united states,usa,WGS84,"{""lat"": 44.441263, ""lon"": -93.317661}",-93.317661,44.441263,1991,7/10/91,lythrum salicaria,https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01397/1397155_lg.jpg,invasive,,,,JM,11/10/25,"could not measure, link broken"
036377c0-7247-4c98-890a-779bb0f788fa,united states,usa,WGS84,"{""lat"": 40.981595, ""lon"": -75.135403}",-75.135403,40.981595,1937,7/17/37,lythrum salicaria,https://mam.ansp.org/image/PH/Fullsize/00449/PH00449119.jpg,invasive,,,,JM,11/10/25,"could not measure, link broken"
0368be84-c28e-460f-b98c-802d9e5ec151,united states,usa,WGS84,"{""lat"": 43.63525, ""lon"": -72.2531}",-72.2531,43.63525,1979,6/26/79,lythrum salicaria,https://neherbaria.org/imglib/cnh/UniversityofNewHampshire_NHA/NHA-706/NHA-706829.jpg,invasive,157.003,3.754,9.966,JM,11/10/25,
038e6057-a743-40d9-9352-e99d797c07c3,netherlands,nld,WGS84,"{""lat"": 52.553827, ""lon"": 5.940126}",5.940126,52.553827,1925,8/17/25,lythrum salicaria,https://medialib.naturalis.nl/file/id/L.3333014/format/large,native,37,10.484,8.889,JM,11/10/25,
0396c8d6-ec94-48b2-a0da-baa2c550127d,netherlands,nld,WGS84,"{""lat"": 53.078506, ""lon"": 6.66317}",6.66317,53.078506,1953,7/23/53,lythrum salicaria,https://medialib.naturalis.nl/file/id/L.3331342/format/large,native,36.5,5.553,20.595,JM,11/10/25,
03ab6f15-14b8-432a-a9a3-2fc051c0a12a,united states,usa,WGS84,"{""lat"": 41.40136, ""lon"": -73.47053}",-73.47053,41.40136,1994,9/1/94,lythrum salicaria,https://neherbaria.org/imglib/cnh/WesternConnecticutStateUniversity_WCSU/WCSU-02/WCSU-02619.jpg,invasive,146,4.639,7.421,JM,11/11/25,
03cf303c-61a5-4298-9a46-08b063368739,netherlands,nld,WGS84,"{""lat"": 52.285032, ""lon"": 5.716943}",5.716943,52.285032,1966,7/13/66,lythrum salicaria,https://medialib.naturalis.nl/file/id/L.4227201/format/large,native,37,4.868,22.087,JM,11/11/25,
0477568a-9550-47e6-a4f8-68a7a633bd05,netherlands,nld,WGS84,"{""lat"": 52.760521, ""lon"": 5.942738}",5.942738,52.760521,1936,1/1/36,lythrum salicaria,https://medialib.naturalis.nl/file/id/L.3333017/format/large,native,38.25,6.207,,JM,11/11/25,"could not measure infl_length, no infl to measure"
0486d527-e7c2-4d90-a615-ccfa6023ebab,united states,usa,WGS84,"{""lat"": 41.7922, ""lon"": -72.7189}",-72.7189,41.7922,1958,7/26/58,lythrum salicaria,"https://images.collections.yale.edu/iiif/2/ypm:d68827ce-9fa4-4da8-a4d2-a628a1ca7a0b/full/!1920,1920/0/default.jpg",invasive,,,,JM,11/11/25,could not measure. no scale
04b7074a-9df9-41ae-9095-53c4e07634b7,netherlands,nld,WGS84,"{""lat"": 53.417826, ""lon"": 5.42479}",5.42479,53.417826,1960,8/27/60,lythrum salicaria,https://medialib.naturalis.nl/file/id/L.3331195/format/large,native,37,0.735,5.125,JM,11/11/25,
04d8db07-2705-4d23-a7b0-e669ad27ef5e,netherlands,nld,WGS84,"{""lat"": 52.140343, ""lon"": 4.824793}",4.824793,52.140343,1953,7/21/53,lythrum salicaria,https://medialib.naturalis.nl/file/id/L.3331362/format/large,native,36.5,4.978,12.458,JM,11/13/25,
05502991-ec60-4ee8-81c2-0b52ec3f83cf,netherlands,nld,WGS84,"{""lat"": 52.37285, ""lon"": 4.616257}",4.616257,52.37285,1896,1896/07/20,lythrum salicaria,https://medialib.naturalis.nl/file/id/L.3331192/format/large,native,,,,JM,11/13/25,link broken
05a75432-d045-43f9-8ef1-8847555780d4,netherlands,nld,WGS84,"{""lat"": 52.1494, ""lon"": 4.83929}",4.83929,52.1494,1944,8/26/44,lythrum salicaria,https://medialib.naturalis.nl/file/id/L.3331197/format/large,native,37.25,2.367,13.495,JM,11/13/25,
05ac3559-075c-4464-a8ec-615da3d7b2f8,netherlands,nld,WGS84,"{""lat"": 52.145914, ""lon"": 4.327981}",4.327981,52.145914,1936,8/1/36,lythrum salicaria,https://medialib.naturalis.nl/file/id/L.3331206/format/large,native,35.753,9.791,17.738,JM,11/13/25,
06530e14-9bb7-4142-9980-769d4dac20b9,united states,usa,WGS84,"{""lat"": 42.85045, ""lon"": -70.86096}",-70.86096,42.85045,1981,10/4/81,lythrum salicaria,https://neherbaria.org/imglib/cnh/WestfieldStateUniversity_WSCH/WSCH002/WSCH002915.jpg,invasive,130.015,7.003,21.661,JM,11/13/25,
065f5f0c-7206-485f-88a7-1a99a68ed00b,norway,nor,WGS84,"{""lat"": 59.8791, ""lon"": 10.6149}",10.6149,59.8791,1927,8/30/27,lythrum salicaria,https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13413384&type=jpeg,native,121.004,5.341,24.162,JM,11/13/25,
0757c844-da66-41dd-ac3d-4184fb512b22,united states,usa,WGS84,"{""lat"": 37.570296, ""lon"": -79.372228}",-79.372228,37.570296,1992,8/7/92,lythrum salicaria,https://sernecportal.org/imglib/seinet/sernec/WILLI/00058/58591.jpg,invasive,126.004,5.632,19.711,JM,11/13/25,
0790f64c-3a93-497d-9626-e3391b309eca,united states,usa,WGS84,"{""lat"": 40.101499, ""lon"": -74.885166}",-74.885166,40.101499,1948,10/31/48,lythrum salicaria,http://mam.ansp.org/image/MCA/Fullsize/0041/MCA0041873.jpg,invasive,,,,JM,11/13/25,link broken
07af7afa-1b04-4956-92ab-d258d49d90fb,netherlands,nld,WGS84,"{""lat"": 52.19148, ""lon"": 4.400024}",4.400024,52.19148,1911,7/23/11,lythrum salicaria,https://medialib.naturalis.nl/file/id/L.3331209/format/large,native,38.25,3.314,15.108,JM,11/13/25,
0856aba3-960a-4684-8545-4ed19b655ad4,netherlands,nld,WGS84,"{""lat"": 53.145367, ""lon"": 7.068746}",7.068746,53.145367,1950,7/8/50,lythrum salicaria,https://medialib.naturalis.nl/file/id/L.3331294/format/large,native,37.003,3.128,6.465,JM,11/13/25,
