coreid,dwc.countr,idigbio.is,dwc.geodet,idigbio.ge,idigbio.lo,idigbio.la,idigbio.ev,idigbio._1,dwc.scient,ac.accessU,range,leaf_area_cm^2,pixelpercm,int_length_cm,initials,date_collected,notes
80a2925f-4d1e-49b8-9aaf-8113d3747438,united states,usa,WGS84,"{""lat"": 40.654819, ""lon"": -75.474627}",-75.474627,40.654819,1976,9/3/76,lythrum salicaria,http://mam.ansp.org/image/MCA/Fullsize/0041/MCA0041854.jpg,invasive,,,,ML,10/28/25,broken link
80da683c-3344-4524-bf7d-2192a9a2c463,netherlands,nld,WGS84,"{""lat"": 51.970774, ""lon"": 5.569108}",5.569108,51.970774,1950,8/5/50,lythrum salicaria,https://medialib.naturalis.nl/file/id/U.1362275/format/large,native,3.939,35.335,3.446,ML,10/28/25,
810868d8-e95f-4bda-9d06-ae8f9eb2d0e5,netherlands,nld,WGS84,"{""lat"": 51.895157, ""lon"": 4.435592}",4.435592,51.895157,1927,8/27/27,lythrum salicaria,https://medialib.naturalis.nl/file/id/L.3331344/format/large,native,8.601,35.75,3.562,ML,10/28/25,
81130046-d3d4-403c-8687-97130ff6ecd9,united states,usa,WGS84,"{""lat"": 42.92462, ""lon"": -71.00361}",-71.00361,42.92462,1977,9/1/77,lythrum salicaria,https://neherbaria.org/imglib/cnh/UniversityofNewHampshire_NHA/NHA-706/NHA-706857.jpg,invasive,7.159,159.0031,4.546,ML,10/28/25,
81178bef-5cf3-4f5b-8670-5df28ac99678,united states,usa,WGS84,"{""lat"": 42.834778, ""lon"": -100.524768}",-100.524768,42.834778,1992,7/20/92,lythrum salicaria,https://ngpherbaria.org/imglib/seinet/ngph/CSCN/CSCN-V-0048/CSCN-V-0048463_lg.jpg,invasive,6.246,100.005,5.918,ML,10/28/25,
814d3513-d7b9-451a-b495-55df4c74a563,norway,nor,WGS84,"{""lat"": 57.9841, ""lon"": 7.0492}",7.0492,57.9841,1939,8/19/39,lythrum salicaria,https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13386561&type=jpeg,native,4.656,119.501,5.459,ML,11/4/25,
81c6249d-ed3a-41df-a0e4-9f15ae147a77,norway,nor,WGS84,"{""lat"": 59.2292, ""lon"": 10.8225}",10.8225,59.2292,1883,1883/05/20,lythrum salicaria,https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13444291&type=jpeg,native,9.87,119,5.073,ML,11/4/25,
81cc90ab-b4af-426b-8fb6-4b36a0268a85,united states,usa,WGS84,"{""lat"": 41.40136, ""lon"": -73.47053}",-73.47053,41.40136,1995,7/11/95,lythrum salicaria,https://neherbaria.org/imglib/cnh/WesternConnecticutStateUniversity_WCSU/WCSU-02/WCSU-02617.jpg,invasive,5.669,139,4.675,ML,11/4/25,
81de22dc-921b-46d9-aa79-6657c6efcc0e,united states,usa,WGS84,"{""lat"": 40.507758, ""lon"": -74.860019}",-74.860019,40.507758,1977,7/25/77,lythrum salicaria,https://storage.idigbio.org/wis/aquatic/v0305/v0305251WIS_lg.jpg,invasive,5.17,88.0227,1.368,ML,11/4/25,
81e99300-5a98-43fa-9fe5-0cced0ba621a,united states,usa,WGS84,"{""lat"": 33.025, ""lon"": -108.158}",-108.158,33.025,1995,7/20/95,lythrum salicaria,https://api.idigbio.org/v2/media/c88f67ea04e5da654e6847abacdf0acb,invasive,4.661,128,3.575,ML,11/4/25,
